graph,method,metric,value,timestamp,database,subset,min_cov_ignored,run_id
$S_\text{Uni-1}$,all,$\mu_3$: AvgNodePropCount,1.5,2026-04-28 20:13:23.877210316,neo4j,all,False,a5ee306f-5a06-4e55-9849-3ab736a59b11
$S_\text{Uni-1}$,all,$\mu_4$: AvgEdgePropCount,1.0,2026-04-28 20:13:23.877210316,neo4j,all,False,a5ee306f-5a06-4e55-9849-3ab736a59b11
$S_\text{Uni-1}$,denormalized,$\mu_1$: NodeCount,4.0,2026-04-28 20:14:21.963708219,neo4j,node-left,False,a5ee306f-5a06-4e55-9849-3ab736a59b11
$S_\text{Uni-1}$,denormalized,$\mu_2$: EdgeCount,3.0,2026-04-28 20:14:21.963708219,neo4j,node-left,False,a5ee306f-5a06-4e55-9849-3ab736a59b11
$S_\text{Uni-1}$,denormalized,$\mu_3$: AvgNodePropCount,1.25,2026-04-28 20:14:21.963708219,neo4j,node-left,False,a5ee306f-5a06-4e55-9849-3ab736a59b11
$S_\text{Uni-1}$,denormalized,$\mu_4$: AvgEdgePropCount,2.0,2026-04-28 20:14:21.963708219,neo4j,node-left,False,a5ee306f-5a06-4e55-9849-3ab736a59b11
$S_\text{Uni-1}$,node-left,$\mu_1$: NodeCount,4.0,2026-04-28 20:14:22.149160276,neo4j,node-left,False,a5ee306f-5a06-4e55-9849-3ab736a59b11
$S_\text{Uni-1}$,node-left,$\mu_2$: EdgeCount,3.0,2026-04-28 20:14:22.149160276,neo4j,node-left,False,a5ee306f-5a06-4e55-9849-3ab736a59b11
$S_\text{Uni-1}$,node-left,$\mu_3$: AvgNodePropCount,1.5,2026-04-28 20:14:22.149160276,neo4j,node-left,False,a5ee306f-5a06-4e55-9849-3ab736a59b11
$S_\text{Uni-1}$,node-left,$\mu_4$: AvgEdgePropCount,1.0,2026-04-28 20:14:22.149160276,neo4j,node-left,False,a5ee306f-5a06-4e55-9849-3ab736a59b11
$S_\text{Uni-1}$,denormalized,$\mu_1$: NodeCount,4.0,2026-04-28 20:15:18.954404259,neo4j,edge-left,False,a5ee306f-5a06-4e55-9849-3ab736a59b11
$S_\text{Uni-1}$,denormalized,$\mu_2$: EdgeCount,3.0,2026-04-28 20:15:18.954404259,neo4j,edge-left,False,a5ee306f-5a06-4e55-9849-3ab736a59b11
$S_\text{Uni-1}$,denormalized,$\mu_3$: AvgNodePropCount,1.25,2026-04-28 20:15:18.954404259,neo4j,edge-left,False,a5ee306f-5a06-4e55-9849-3ab736a59b11
$S_\text{Uni-1}$,denormalized,$\mu_4$: AvgEdgePropCount,2.0,2026-04-28 20:15:18.954404259,neo4j,edge-left,False,a5ee306f-5a06-4e55-9849-3ab736a59b11
$S_\text{Uni-1}$,edge-left,$\mu_1$: NodeCount,4.0,2026-04-28 20:15:18.956104516,neo4j,edge-left,False,a5ee306f-5a06-4e55-9849-3ab736a59b11
$S_\text{Uni-1}$,edge-left,$\mu_2$: EdgeCount,3.0,2026-04-28 20:15:18.956104516,neo4j,edge-left,False,a5ee306f-5a06-4e55-9849-3ab736a59b11
$S_\text{Uni-1}$,edge-left,$\mu_3$: AvgNodePropCount,1.25,2026-04-28 20:15:18.956104516,neo4j,edge-left,False,a5ee306f-5a06-4e55-9849-3ab736a59b11
$S_\text{Uni-1}$,edge-left,$\mu_4$: AvgEdgePropCount,2.0,2026-04-28 20:15:18.956104516,neo4j,edge-left,False,a5ee306f-5a06-4e55-9849-3ab736a59b11
